rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/brick,Brick,"After receiving a frantic phone call from his ex-girlfriend, teenage loner Brendan Frye (Joseph Gordon-Levitt) learns that her dead body has been found. Vowing to solve her murder himself, he must infiltrate high-school cliques that he previously avoided. His search for the truth places him before some of the school's roughest characters, leading to a confrontation with a drug dealer known as ""the Pin (Lukas Haas).""",This entertaining homage to noirs past has been slickly and compellingly updated to a contemporary high school setting.,"Action & Adventure, Drama, Horror, Mystery & Suspense",Rian Johnson,Rian Johnson,80.0,86.0,142.0,105728.0
m/polar_express,The Polar Express,"Tom Hanks and director Robert Zemeckis (""Forrest Gump""; ""Cast Away"") reunite for ""Polar Express,"" an inspiring adventure based on the beloved children's book by Chris Van Allsburg. When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.","Though the movie is visually stunning overall, the animation for the human characters isn't lifelike enough, and the story is padded.","Animation, Drama, Kids & Family",Robert Zemeckis,"Robert Zemeckis, William Broyles",56.0,63.0,208.0,242291.0
m/the_weekend_2018,The Weekend,A down-on-her-luck comedian's vacation plans are interrupted by her ex-boyfriend and his new girlfriend.,"Led by a potentially star-making performance from Sasheer Zamata, The Weekend takes a well-acted, smartly written approach to familiar character dynamics.","Comedy, Romance",Stella Meghie,Stella Meghie,86.0,46.0,22.0,50.0
m/stoned,Stoned,"Following dismissal from the band he co-founded, former Rolling Stone Brian Jones (Leo Gregory) hangs around his country estate in a drug-addled funk. The band's manager (David Morrissey) hires Frank Thorogood (Paddy Considine) to fix up the decaying house and keep an eye on Jones, but a number of weeks later, Jones dies in a swimming pool under mysterious circumstances.","Poorly cast and sloppily assembled, Stoned turns one of rock 'n' roll's most darkly fascinating mysteries into a cinematic tragedy all its own.",Drama,Stephen Woolley,"Neal Purvis, Robert Wade",14.0,45.0,50.0,22418.0
m/its-pat,It's Pat,"The he-or-she character (Julia Sweeney) from ""Saturday Night Live"" continues to make people wonder.",,Comedy,Adam Bernstein,"Julia Sweeney, Stephen Hibbert, Jim Emerson",0.0,28.0,11.0,7689.0
m/gate_of_hell,Gate of Hell (Jigokumon),"In this lauded Japanese drama, the samurai Moritoh Enda (Kazuo Hasegawa) performs a heroic act by rescuing the lovely Lady Kesa (Machiko Ky?) from a violent uprising. The warrior falls in love with Kesa, but becomes distraught when he finds out that she is already married to a man named Wataru Watanabe (Isao Yamagata). Unable to shake his obsession with Kesa, Moritoh grows increasingly unstable and will not stop in his pursuit of her, no matter what the consequences.",,"Art House & International, Drama",Teinosuke Kinugasa,,100.0,77.0,9.0,615.0
m/entropy,Entropy,"An arrogant, immature filmmaker (Stephen Dorff) falls immediately for a French model (Judith Godreche) he just met.",,"Comedy, Drama",Phil Joanou,Phil Joanou,40.0,75.0,5.0,886.0
m/american_sniper,American Sniper,"U.S. Navy SEAL Chris Kyle (Bradley Cooper) takes his sole mission -- protect his comrades -- to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.","Powered by Clint Eastwood's sure-handed direction and a gripping central performance from Bradley Cooper, American Sniper delivers a tense, vivid tribute to its real-life subject.","Action & Adventure, Drama",Clint Eastwood,Jason Hall,72.0,84.0,294.0,153418.0
m/kidnapping_mr_heineken,Kidnapping Mr. Heineken,"In 1983, five longtime friends successfully kidnap and ransom the heir (Anthony Hopkins) to the Heineken beer empire.","Dull and devoid of characterization, Kidnapping Mr. Heineken is a true crime thriller that rings false.","Action & Adventure, Drama, Mystery & Suspense",Daniel Alfredson,William Brookfield,19.0,24.0,62.0,912.0
m/michael_che_matters,Michael Che Matters,,,Comedy,Osmany Rodriguez,,100.0,83.0,5.0,6.0
m/pipe_dream,Pipe Dream,A plumber (Martin Donovan) pretends to be a filmmaker and holds fake auditions in order to meet women.,,"Comedy, Romance",John Walsh,"John Walsh, Cynthia Kaplan",72.0,31.0,18.0,899.0
m/twentyfourseven,Twentyfourseven,"As a youth, Alan Darcy (Bob Hoskins) avoided getting sucked into violent gang life in Nottingham by taking out his aggression at a boxing club. Years later, the same grim temptations of crime and drugs from his upbringing threaten to lure a new generation of young public housing residents into a downward spiral. With financial help from gangster Ronnie Marsh (Frank Harper), Alan reopens the gym he went to in his youth and begins training his troubled recruits for a public boxing match.",,Drama,Shane Meadows,"Paul Fraser, Shane Meadows",35.0,81.0,20.0,978.0
m/superman_vs_the_elite,Superman vs. The Elite,"New superpowerful heroes appear on the scene, but they soon run afoul of the Man of Steel (George Newbern) when they show their willingness to kill to stop crime.",,"Action & Adventure, Animation",Michael Chang,,80.0,75.0,5.0,2144.0
m/1054344-it_could_happen_to_you,It Could Happen to You,"Charlie Lang (Nicolas Cage) is a simple, kindhearted New York City cop. When he realizes he has no money to tip waitress Yvonne Biasi (Bridget Fonda), Lang offers her half the winnings of his lottery ticket. Amazingly, the ticket happens to be a winner, in the sum of $4 million. True to his word, Lang proceeds to share the prize money with Biasi, which infuriates his greedy wife, Muriel (Rosie Perez). Not content with the arrangement, Muriel begins scheming to take all the money.",,"Comedy, Drama, Romance",Andrew Bergman,"Jane Anderson, Andrew Bergman",71.0,54.0,34.0,47822.0
m/marie_curie_the_courage_of_knowledge_2017,Marie Curie: The Courage of Knowledge,Physicist and chemist Marie Curie struggles for recognition in the male-dominated science community in early 20th-century France.,"Marie Curie: The Courage of Knowledge may test the patience of some viewers with its deliberate pacing, but this sensitively made biopic has its well-acted rewards.","Art House & International, Drama, Romance",Marie Noelle,"Andrea Stoll, Marie Noelle",64.0,55.0,25.0,1273.0
m/cold_mountain,Cold Mountain,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman (Jude Law) deserts his unit and travels across the South, aiming to return to his young wife, Ada (Nicole Kidman), who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby (Renée Zellweger), a mysterious drifter sent to help her by a kindly neighbor.",The well-crafted Cold Mountain has an epic sweep and captures the horror and brutal hardship of war.,"Action & Adventure, Drama, Romance",Anthony Minghella,Anthony Minghella,71.0,77.0,231.0,209910.0
m/1178913-1178913-you_kill_me,You Kill Me,"An alcoholic mob hit man, Frank Falenczyk (Ben Kingsley), is forced into rehab by his boss (Philip Baker Hall). To clean up he gets a sponsor (Luke Wilson) who helps him enroll in a 12 step program. Frank eventually takes a job in a mortuary and begins a new life, falling in love with his attractive co-worker Laurel (Téa Leoni). Frank's idyllic new life is threatened when old associates with bad attitudes and worse intentions start looking for him.","Featuring wonderful performances from Ben Kingsley and Tea Leoni, You Kill Me is a charming, funny take on the familiar inner-lives-of-hit-men premise.","Comedy, Drama, Romance",John Dahl,"Christopher Markus, Stephen McFeely",78.0,59.0,115.0,30723.0
m/under_fire,Under Fire,"A pair of news correspondents chronicling the final days of the corrupt Samoza Regime in Nicaragua find themselves under fire from both sides. After an American news reporter is killed in Nicaragua, two of his fellow journalists choose to participate actively in the revolution. As the Samoza power base falls, they face dilemmas concerning their relationship with each other and their loss of professional objectivity.",,"Drama, Mystery & Suspense",Roger Spottiswoode,"Ron Shelton, Clayton Frohman, Clay Frohman",90.0,69.0,21.0,3804.0
m/1126416-mayor_of_the_sunset_strip,Mayor of the Sunset Strip,"This documentary traces Rodney Bingenheimer's journey from a hard-luck childhood to a successful career as a disc jockey. Involved in the Los Angeles rock 'n' roll scene since the 1960s, the omnipresent Bingenheimer has seen his fair share of both triumphs and hardships during his time as a musical taste-maker. Featuring interviews with rock legends like David Bowie, Brian Wilson and Beck all chiming in on Bingenheimer, the film also underlines the consequences of romanticizing fame.","A fascinating, poignant look at the cult of celebrity.","Documentary, Musical & Performing Arts",George Hickenlooper,George Hickenlooper,87.0,76.0,78.0,1721.0
m/leonie_2011,Leonie,"In the late 1800s, a young bourgeois Frenchwoman's bad attitude causes problems for her mother and the superiors in the religious order she hopes to enter.",,Drama,Hisako Matsui,"Hisako Matsui, David Wiener",42.0,52.0,12.0,294.0
m/leprechaun_origins,Leprechaun: Origins,"While backpacking through Ireland, two couples discover that one of the country's most-famous legends is terrifyingly real.",,Horror,Zach Lipovsky,Harris Wilkinson,0.0,10.0,7.0,593.0
m/jack_ketchums_the_girl_next_door,Jack Ketchum's The Girl Next Door,"A teen (Blythe Auffarth) suffers horrible abuse at the hands of her caretaker (Blanche Baker), who also encourages the neighborhood boys to torment the girl.",,"Drama, Horror","Gregory M. Wilson, Gregry Wilson","Daniel Farrands, Philip Nutman, Phillip Nutman",67.0,61.0,15.0,7046.0
m/1007745-four_feathers,The Four Feathers,"When English soldier Harry Faversham (John Clements) attempts to leave military service just before an expedition to the Sudan, he is presented with feathers, symbolic of his cowardice, by other officers, including his friend Captain John Durrance (Ralph Richardson). In an attempt to restore his honor, Faversham goes undercover as a mute native, and has a chance at redemption when he rescues the blinded Durrance from the heat of battle. Will his act of courage result in forgiveness?",,"Action & Adventure, Art House & International, Classics",Zoltan Korda,"R.C. Sherriff, Lajos Biró, Oliver H.P. Garrett, Arthur Wimperis",100.0,85.0,9.0,2888.0
m/michael_jackson_this_is_it,Michael Jackson's This Is It,"Prior to his untimely death, Jackson was in the midst of preparing for a series of sold-out concerts that were scheduled to take place in London during the summer of 2009. Behind-the-scenes footage, filmed between March and June of 2009, captures the pop superstar in intimate detail as he developed and rehearsed for the ""This Is It"" tour.","While it may not be the definitive concert film (or the insightful backstage look) some will hope for, Michael Jackson's This Is It packs more than enough entertainment value to live up to its ambitious title.","Documentary, Musical & Performing Arts",Kenny Ortega,,81.0,82.0,186.0,221682.0
m/down_and_derby,Down and Derby,Overzealous fathers design and construct miniature cars for an annual race intended for their children.,"Dull, predictable family fare.","Comedy, Kids & Family",Eric Hendershot,Eric Hendershot,22.0,51.0,27.0,808.0
m/gymkata,Gymkata,U.S. agents send a gymnastic martial artist (Kurt Thomas) to secure a missile-base site by the Caspian Sea.,,"Action & Adventure, Drama",Robert Clouse,Charles Robert Carner,17.0,40.0,12.0,3824.0
m/1046180-trauma,Trauma (Dario Argento's Trauma),"Two mixed-up young lovers (Christopher Rydell, Asia Argento) try to hunt down a decapitator called Head Hunter by the media.",,"Horror, Mystery & Suspense",Dario Argento,Dario Argento,57.0,41.0,7.0,4026.0
m/kill_bill_volume_2,Kill Bill: Volume 2,"The Bride (Uma Thurman) picks up where she left off in volume one with her quest to finish the hit list she has composed of all of the people who have wronged her, including ex-boyfriend Bill (David Carradine), who tried to have her killed four years ago during her wedding to another man. Leaving several dead in her wake, she eventually tracks down Bill in Mexico. Using skills she has learned during her assassin career, she attempts to finish what she set out to do in the first place.","Kill Bill: Volume 2 adds extra plot and dialogue to the action-heavy exploits of its predecessor, while still managing to deliver a suitably hard-hitting sequel.","Action & Adventure, Comedy, Drama",Quentin Tarantino,Quentin Tarantino,84.0,89.0,242.0,841454.0
m/the_guilty_2018,The Guilty (Den skyldige),"Alarm dispatcher and former police officer Asger Holm answers an emergency call from a kidnapped woman. When the call is suddenly disconnected, the search for the woman and her kidnapper begins.","Sleek, well-acted, and intelligently crafted, The Guilty is a high-concept thriller that wrings maximum impact out of a handful of basic - and effective - ingredients.","Drama, Mystery & Suspense",Gustav Möller,"Emil Nygaard Albertsen, Gustav Möller",97.0,88.0,117.0,1385.0
m/lessons_of_darkness_1995,Lessons of Darkness,"Retreating from Kuwait after the first Gulf War, the Iraqi army sets fire to the country's oil fields. In this documentary, filmmaker Werner Herzog films the raging flames while narrating from the perspective of a confused alien visitor, musing on the strangeness of the landscape. As the fires burn, helicopter shots display the extent of the damage. On the ground, firefighters do their best to control things, while Kuwaiti women recount atrocities perpetrated by the Iraqis.",,"Art House & International, Documentary",Werner Herzog,Werner Herzog,100.0,92.0,10.0,2980.0
m/maytime,Maytime,"The aging Marcia Mornay (Jeanette MacDonald) looks back on her long life and career as a renowned opera singer. As a young woman, she is trained by expert vocal teacher Nikolai Nazarov (John Barrymore). When Nikolai asks Marcia to marry him, she agrees to the wedding because, although she does not love her instructor, she is unwilling to break his heart. Just before her wedding, though, Marcia meets and falls in love with aspiring singer Paul Allison (Nelson Eddy).",,"Classics, Drama, Musical & Performing Arts, Romance",Robert Z. Leonard,Noel Langley,100.0,88.0,5.0,460.0
m/bootmen,Bootmen,"Cocky, rebellious and ambitious, Sean Okden, is determined to follow his passion to become a ground-breaking tap dancer, and not resign himself to a life toiling in the local steel mill like most of the men in his hometown. Despite Sean's astonishing talent, his no-holds-barred attitude has a cost. First, he incites the wrath of his widowed father -- who along with almost everyone in town, mocks his dreams. Then, he clashes over the affections of the beautiful Linda with his brother Mitchell.",,"Comedy, Drama, Musical & Performing Arts",Dein Perry,"Steve Worland, Hilary Linstead, Dein Perry",35.0,68.0,17.0,8159.0
m/conor_mcgregor_notorious,Conor McGregor: Notorious,Filmed over the course of four years and highlighting the fighter's rise from claiming benefits and living in his parents' spare room in Dublin to claiming multiple championship UFC belts and seven figure pay-packets in Las Vegas.,,Documentary,Gavin Fitzgerald,,50.0,72.0,14.0,315.0
m/dont_leave_home,Don't Leave Home,An American artist's obsession with a disturbing urban legend leads her to an investigation of the story's origins at the crumbling estate of a reclusive painter in Ireland.,,Mystery & Suspense,Michael Tully,Michael Tully,74.0,22.0,19.0,252.0
m/hunt_for_the_wilderpeople,Hunt for the Wilderpeople,A boy (Julian Dennison) and his foster father (Sam Neill) become the subjects of a manhunt after they get stranded in the New Zealand wilderness.,"The charmingly offbeat Hunt for the Wilderpeople unites a solid cast, a talented filmmaker, and a poignant, funny, deeply affecting message.","Action & Adventure, Comedy",Taika Waititi,Taika Waititi,96.0,91.0,198.0,24758.0
m/spiderwick_chronicles,The Spiderwick Chronicles,"Of the three Grace children, Jared (Freddie Highmore) has always been thought of as the troublemaker. So when strange things happen after his family's move to a relative's dilapidated estate, sister Mallory (Sarah Bolger), twin brother Simon and their mother assume that Jared is behind it all. However, magical creatures roam the grounds, and they all want a special book that Jared has found: a field guide to fantastic creatures, penned by Arthur Spiderwick.","The Spiderwick Chronicles is an entertaining children's adventure, with heart and imagination to spare.","Action & Adventure, Drama, Science Fiction & Fantasy",Mark Waters (VIII),"John Sayles, Karey Kirkpatrick, David Berenbaum",80.0,63.0,147.0,355118.0
m/el_camino_a_breaking_bad_movie,El Camino: A Breaking Bad Movie,Jesse Pinkman flees from the police and tries to escape his inner turmoil.,"Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul.","Drama, Mystery & Suspense, Television",Vince Gilligan,Vince Gilligan,91.0,81.0,126.0,4773.0
m/dragon_the_bruce_lee_story,Dragon: The Bruce Lee Story,"Bruce Lee's (Jason Scott Lee) rise begins in Hong Kong, as a young boy receiving traditional Chinese martial arts training. After an altercation compels young Bruce to leave the country, his father (Ric Young) sends him to the United States, imploring him to seek success that even Hong Kong will recognize. Bruce begins by teaching martial arts to American students, and eventually becomes a popular actor on the ""Green Hornet"" television series, known in Hong Kong as ""The Kato Show.""","While its impact is blunted by an overly reverential approach to its subject, Dragon: The Bruce Lee Story remains a reasonably entertaining biopic of the martial arts legend.","Action & Adventure, Drama",Rob Cohen,"Edward Khmara, John Raffo, Rob Cohen",71.0,79.0,21.0,57787.0
m/greater,Greater,"Told he wasn't good enough to play Division I football, Brandon Burlsworth took a risk and walked on in 1994, and he became the most respected player in the history of the program.",,"Drama, Sports & Fitness",David Hunt,"David Hunt, Brian Reindl",67.0,85.0,15.0,3160.0
m/the_hunters_prayer,The Hunter's Prayer,An assassin is sent to kill a young woman but finds himself unable to pull the trigger. They form an uneasy alliance and flee from their pursuers.,,"Action & Adventure, Drama, Mystery & Suspense",Jonathan Mostow,Paul Leyden,33.0,23.0,21.0,354.0
m/st_vincent,St. Vincent,"Maggie (Melissa McCarthy), a struggling single woman, moves to Brooklyn with her 12-year-old son, Oliver (Jaeden Lieberher). Having to work very long hours, she has no choice but to leave Oliver in the care of Vincent (Bill Murray), a bawdy misanthrope next door. Vincent takes Oliver along on his trips to the race track, strip club and dive bar, and an unlikely friendship is born. The man is a mentor to the boy in his hedonistic way, and Oliver sees the good in Vincent that no one else can.","St. Vincent offers the considerable pleasure of seeing Bill Murray back in funny form, but drifts into dangerously sentimental territory along the way.",Comedy,Ted Melfi,Ted Melfi,77.0,78.0,190.0,42553.0
m/never_been_kissed,Never Been Kissed,"Josie Geller (Drew Barrymore), a baby-faced junior copywriter at the Chicago Sun-Times, must pose as a student at her former high school to research contemporary teenage culture. With the help of her brother, Rob (David Arquette), Josie infiltrates the inner circle of the most popular clique on campus. But she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy English teacher, Sam Coulson (Michael Vartan).",Unoriginal and unremarkable high school satire adds little to the genre.,Comedy,Raja Gosnell,"Abby Kohn, Marc Silverstein",55.0,69.0,89.0,441112.0
m/never_be_done,Never Be Done: The Richard Glen Lett Story,,,"Comedy, Documentary",Roy Tighe,,100.0,98.0,5.0,63.0
m/luis_and_the_aliens,Luis and The Aliens,A 12-year-old boy embarks on a wild quest to help three tiny extraterrestrials return to their huge mother ship.,,"Animation, Kids & Family, Science Fiction & Fantasy","Christoph Lauenstein, Wolfgang Lauenstein","Christoph Lauenstein, Wolfgang Lauenstein, Sean McCormack",24.0,56.0,17.0,75.0
m/the_silence_2013,The Silence,A young woman confronts the demons of her past after she witnesses a violent crime.,"Unsettling and at times lurid, Baran bo Odar's The Silence is a thrilling foray into film noir.","Art House & International, Drama, Mystery & Suspense",Baran bo Odar,Baran bo Odar,88.0,71.0,40.0,4389.0
m/rich_mans_wife,The Rich Man's Wife,"Josie (Halle Berry) is unhappy in her marriage to wealthy film producer Tony Potenza (Christopher McDonald), who tends to be preoccupied with work, drinking or other women. Though Josie also cheats on Tony, she holds out hope that they can reconcile. When she meets the rugged but dangerous Cole Wilson (Peter Greene), he sets in motion a tense series of events, leading to murder and deception. Also roped into the intrigue is Josie's lover, Jake Golden (Clive Owen), who is far from innocent.",,"Drama, Mystery & Suspense",Amy Holden Jones,Amy Holden Jones,13.0,38.0,15.0,4691.0
m/thank_you_for_playing,Thank You For Playing,Ryan begins working on a poetic video game to honor his son's life when he is diagnosed with terminal cancer.,,Documentary,"David Osit, Malika Zouhali-Worrall","David Osit, Malika Zouhali-Worrall",90.0,71.0,10.0,120.0
m/1109257-others,The Others,"Grace (Nicole Kidman), the devoutly religious mother of Anne (Alakina Mann) and Nicholas (James Bentley), moves her family to the English coast during World War II. She awaits word on her missing husband while protecting her children from a rare photosensitivity disease that causes the sun to harm them. Anne claims she sees ghosts, Grace initially thinks the new servants are playing tricks but chilling events and visions make her believe something supernatural has occurred.",The Others is a spooky thriller that reminds us that a movie doesn't need expensive special effects to be creepy.,"Horror, Mystery & Suspense",Alejandro Amenábar,Alejandro Amenábar,83.0,77.0,165.0,344417.0
m/the_challenge_1982,The Challenge,"An American boxer (Scott Glenn) enters a ritual feud between two Japanese brothers (Toshirô Mifune, Atsuo Nakamura) over two coveted samurai swords.",,"Action & Adventure, Drama",John Frankenheimer,"John Sayles, Richard Maxwell, Marc Norman",57.0,70.0,7.0,322.0
m/monster_squad,The Monster Squad,"Members (Andre Gower, Robby Kiger) of a monster fan club meet Count Dracula, Wolfman, Frankenstein, the Mummy and Gill Man.","A fun '80s adventure with a slightly scary twist, The Monster Squad offers tween-friendly horror with just enough of a kick.","Action & Adventure, Comedy, Horror",Fred Dekker,"Shane Black, Fred Dekker",62.0,78.0,26.0,35783.0
m/a_band_called_death_2013,A Band Called Death,Filmmakers Mark Covino and Jeff Howlett tell the story of the Hackney brothers and how the discovery of their long-lost demo tape led to their band's newfound popularity.,"A Band Called Death is not only a fascinating portrait of a pioneering rock group, but also a tribute to family ties and perseverance in the face of hardship.","Documentary, Musical & Performing Arts","Jeff Howlett, Mark Christopher Covino",,94.0,85.0,52.0,5280.0
m/the_tenants,The Tenants,"Harry Lesser (Dylan McDermott) lives in a decrepit apartment building and spends his days banging away at a typewriter in an attempt to finish his third novel. Willie Spearmint (Snoop Dogg), also a struggling novelist and an illegal squatter in the building, occasionally asks Henry's professional advice. Antagonism between the two men increases as each tries to finish his book before the other does.",,"Drama, Mystery & Suspense",Danny Green,David Diamond,32.0,30.0,19.0,87453.0
m/jug_face,Jug Face,"Pregnant with her brother's child, a teen tries to escape from her backwoods community after learning that she is to be sacrificed to a creature that lives in a deep pit.",,"Cult Movies, Horror",Chad Crawford Kinkle,Chad Crawford Kinkle,76.0,36.0,21.0,1314.0
m/war_room,The War Room,"Given unprecedented access, documentary filmmakers D.A. Pennebaker Chris Hegedus follow part of the 1992 Clinton campaign for president. During the New Hampshire primary, the campaign hits some stumbling blocks, chief among them the Gennifer Flowers scandal, but nevertheless manages to pull out a second-place finish. From there, strategists George Stephanopoulos and James Carville repair to national campaign headquarters in Little Rock to monitor the remaining duration of the campaign.","Eye-opening in its access to an array of colorful campaign operatives, The War Room is a valuable time capsule and a riveting study in the art of politicking.","Documentary, Drama, Special Interest","D.A. Pennebaker, Chris Hegedus, Christopher Hughes",,96.0,83.0,24.0,2631.0
m/bad_lieutenant_port_of_call_new_orleans,Bad Lieutenant: Port of Call New Orleans,"Terence McDonagh (Nicolas Cage) isn't doing so well. He has a nasty painkiller addiction, courtesy of an injury he sustained while rescuing a prisoner during Hurricane Katrina. Plus, there's his alcoholic father (Tom Bower), boozy wife (Jennifer Coolidge) and prostitute girlfriend (Eva Mendes). And, he's just been saddled with a rookie partner (Shawn Hatosy). Now Terence must pull himself back from the edge of insanity to investigate a series of murders that has the city on edge.","Befitting its unorthodox origins, this Bad Lieutenant benefits from Werner Herzog's typically fearless direction and a delightfully unhinged Nicolas Cage in the title role.","Drama, Mystery & Suspense",Werner Herzog,"William M. Finkelstein, Victor Argo",85.0,57.0,150.0,53828.0
m/crazy_as_hell,Crazy as Hell,"Followed by a documentary filmmaker named Parker (John C. McGinley), psychiatrist Dr. Ty Adams (Michael Beach) begins treating a mysterious man (Eriq La Salle). The nameless patient claims he's the devil, and Adams, convinced that the man is delusional and dangerous, isolates him from the rest of the hospital population. But as the supposed Satan gradually reveals himself to be an all-knowing creature, Adams must reconsider what he believes about medicine, mental illness and the spirit world.",,"Drama, Horror, Mystery & Suspense",Eriq La Salle,"Jeremy Leven, Erik Jendresen, Butch Robinson, Eriq La Salle",53.0,54.0,15.0,1075.0
m/correspondence_2016,Correspondence (La corrispondenza),"An aging astrophysics professor begins a passionate affair with a young and beautiful Ph.D. student. Although he abruptly and mysteriously ends their romance, she continues to receive gifts and messages.",,"Art House & International, Drama, Romance",Giuseppe Tornatore,Giuseppe Tornatore,14.0,36.0,7.0,77.0
m/spiral_farm,Spiral Farm,"When two outsiders arrive in an isolated community, a 17-year old girl begins to question her role at home and wonders what a future out in the world-at-large could be.",,Drama,Alec Tibaldi,"Alec Tibaldi, Thomai Hatsios",100.0,,6.0,
m/big_country,The Big Country,"Retiring to the American West to marry his fiancée, Patricia Terrill (Carroll Baker), Captain James McKay (Gregory Peck) enters a land-and-water feud between his future father-in-law, Major Terrill (Charles Bickford), and the rough and lawless Hannassey family, led by Rufus (Burl Ives). McKay prefers peace between himself and the Hannasseys, who repeatedly attempt to provoke violence. But his steadfast demeanor only angers his fiancé and Major Terrill, who won't settle for truces.",,"Classics, Drama, Western",William Wyler,"Robert Wyler, Sy Bartlett, James R. Webb, Robert Wilder",100.0,90.0,12.0,5518.0
m/they_will_have_to_kill_us_first,They Will Have to Kill Us First,"Musicians unite to organize a concert in Timbuktu, Mali, after Islamic extremists ban all forms of music in the country.",,Documentary,Johanna Schwartz,"Johanna Schwartz, Andy Morgan",100.0,61.0,19.0,184.0
m/vor-the-thief,The Thief (Vor) (&#1042;&#1086;&#1088;),"In 1946, a soldier fathers a child then dies before its birth. Jump to 1952: on a train, the child and his mother meet a handsome soldier who makes a play for her. She accepts. Posing as a married family, the soldier finds them a place to stay where he becomes everyone's favorite through his good looks and generosity. Meanwhile the widowed Russian with a young son falls for a soldier who turns out to have another identity.","As beautiful to look at as it is thought-provoking, The Thief interrogates Europe's past through the experiences of a family in crisis.","Art House & International, Drama","Pavel Chukhray, Pavel Chukhrai","Pavel Chukhray, Aku Louhimies, Pavel Chukhrai, Jari Rantala, Paavo Westerberg",88.0,88.0,24.0,650.0
m/aziz_ansari_buried_alive,Aziz Ansari: Buried Alive,,,"Comedy, Television","Will Lovelace, Dylan Southern (II)",Aziz Ansari,100.0,50.0,6.0,8.0
m/the_apparition,The Apparition,"Plagued by frightening occurrences in their home, Kelly (Ashley Greene) and Ben (Sebastian Stan) learn that a university's parapsychology experiment produced an entity that is now haunting them. The malevolent spirit feeds on fear and torments the couple no matter where they run. Desperate, Kelly and Ben turn to a paranormal researcher (Tom Felton), but even with his aid, it may already be too late to save themselves from the terrifying presence.","The Apparition fails to offer anything original, isn't particularly scary, and offers so little in the way of dramatic momentum that it's more likely to put you to sleep than thrill you.","Horror, Mystery & Suspense",Todd Lincoln,Todd Lincoln,3.0,24.0,62.0,23554.0
m/the_darkest_hour,The Darkest Hour,"Young entrepreneurs Sean (Emile Hirsch) and Ben (Max Minghella) meet stranded travelers Natalie (Olivia Thirlby) and Anne (Rachael Taylor) at a hot Moscow nightclub. Their whole world changes in an instant when an alien attack devastates the city and everything goes dark. Joined by a Swedish businessman (Joel Kinnaman), the youths emerge from hiding days later and must somehow fight back against a nearly invisible enemy that could find and disintegrate them at any moment.","Devoid of believable characters or convincing visual effects, this may be The Darkest Hour for the careers of all involved.","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Chris Gorak,"Leslie Bohem, Jon Spaihts",12.0,25.0,59.0,29649.0
m/the_unseen_2016,The Unseen,A man risks the secret of his invisibility to find his missing daughter.,,"Action & Adventure, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Geoff Redknap,Geoff Redknap,100.0,54.0,9.0,251.0
m/gullivers-travels-2010,Gulliver's Travels,"Lemuel Gulliver (Jack Black) works in a mailroom at a city newspaper. While he is on an assignment in the Bermuda Triangle, a vortex transports him to a magic land of tiny people. His newfound comrades use his enormous size to help defend the land of Lilliput from warring rivals.","Though Jack Black is back doing what he does best, Gulliver's Travels largely fails to do any justice to its source material, relying instead on juvenile humor and special effects.","Action & Adventure, Comedy, Science Fiction & Fantasy",Rob Letterman,"Rob Letterman, Nicholas Stoller, Joe Stillman",20.0,27.0,120.0,61898.0
m/robyn_hitchcock_storefront_hitchcock,Robyn Hitchcock - Storefront Hitchcock,"In this film, director Jonathan Demme documents a live performance by Robyn Hitchcock, an English singer-songwriter. Instead of performing in a standard concert setting, Hitchcock brings his music to an abandoned shop in New York City. Before a small audience, Hitchcock plays tunes from his oddly engaging catalog. The intimacy is increased by the lengthy, surreal asides Hitchcock delivers between numbers, while the bustling city streets outside the store are visible throughout the film.",,"Documentary, Musical & Performing Arts",Jonathan Demme,,88.0,77.0,8.0,670.0
m/so_close,So Close,"Lynn (Shu Qi) is a professional assassin, hacker and espionage specialist. While her shyer sister, Sue, handles the computer aspects of missions at home, Lynn takes on all the dangerous tasks. Sue resents Lynn for underestimating her, though Lynn is just trying to protect her younger sister. Police detective Hong (Karen Mok) pursues the two after they successfully kill the chairman of a major company, but all three must work together when a common enemy wants them dead.",This HK actioner oozes with style.,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy","Corey Yuen, Cory Yuen","Jeff Lau Chun Wai, Jeffrey Lau",82.0,77.0,38.0,9155.0
