rotten_tomatoes_link,movie_title,movie_info,critics_consensus,genres,directors,authors,tomatometer_rating,audience_rating,tomatometer_count,audience_count
m/the-three-musketeers2004,"Mickey, Donald, Goofy: The Three Musketeers","Mickey Mouse, Donald Duck and Goofy are lowly French peasants who dream of greatness as members of the musketeers. Though they are rejected by that elite unit, conniving Pete hires them to ""protect"" Princess Minnie Mouse, believing their incompetence will make it easier for him to usurp the throne. Naturally, Minnie is instantly smitten with Mickey. And though the trio is a bit overzealous at first, they work together to uncover and foil Pete's nefarious plot.",,"Action & Adventure, Animation, Comedy, Kids & Family",Donovan Cook,Evan Spiliotopoulos,36.0,49.0,11.0,6946.0
m/cold_november,Cold November,"In rural middle America, a 12-year-old girl prepares for her first deer hunt. As she learns how to hunt and clean a deer, she gains a deeper understanding of life and death.",,Drama,Karl Jacob,Karl Jacob,100.0,63.0,6.0,110.0
m/hava_nagila_the_movie,Hava Nagila: The Movie,"Harry Belafonte, Connie Francis and Leonard Nimoy are among those featured in filmmaker Roberta Grossman's history of the song ""Hava Nagila,"" from its Russian origins to its prevalence in Jewish culture.",,"Documentary, Drama, Special Interest",Roberta Grossman,Roberta Grossman,90.0,67.0,29.0,390.0
m/ronin,Ronin,"Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of which are a mystery. The international team includes Sam (Robert De Niro), an ex-intelligence officer, along with Vincent (Jean Reno), Gregor (Stellan Skarsgard) and others. As their operation gets underway, several team members are found to be untrustworthy, and everyone must complete the mission with a watchful eye on everyone else.","Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.","Action & Adventure, Mystery & Suspense",John Frankenheimer,"John Frankenheimer, J.D. Zeik, David Mamet",68.0,80.0,68.0,120905.0
m/respire_2014,Breathe,"Charlie, a 17-year-old girl tortured by doubt, is thrilled when she becomes friends with Sarah, but when Sarah tires of Charlie and looks for a new friend, their relationship takes an ominous turn.","Breathe finds writer-director Mélanie Laurent opening a sensitive, well-acted window into the bittersweet upheaval of adolescence.","Drama, Mystery & Suspense",Mélanie Laurent,"Mélanie Laurent, Julien Lambroschini",92.0,78.0,52.0,1538.0
m/on_any_sunday_the_next_chapter,"On Any Sunday, The Next Chapter","Travis Pastrana, Ashley Fiolek, Brad Oxley and others are featured in filmmaker Dana Brown's exploration of today's motorcycle culture.",,"Documentary, Sports & Fitness",Dana Brown,"Dana Brown, Scott Russo",54.0,86.0,13.0,563.0
m/lords_of_dogtown,Lords of Dogtown,"A drought in 1970s Southern California has an unexpected side effect: as people empty their swimming pools, a group of teen surfers from the Dogtown area of Venice Beach move in with skateboards, and a new sport is born. Based on a true story, this film follows ""Z-Boys"" skate team members Stacy Peralta (John Robinson), Tony Alva (Victor Rasuk) and Jay Adams (Emile Hirsch), plus manager Skip Engblom (Heath Ledger), as their fearless ""pool surfing"" leads to fame, fortune -- and misfortune.","Lords of Dogtown, while slickly made and edited, lacks the depth and entertaining value of the far superior documentary on the same subject, Dogtown and Z-Boys.","Action & Adventure, Drama",Catherine Hardwicke,Stacy Peralta,55.0,81.0,146.0,68342.0
m/disturbia,Disturbia,"Ever since his father died, young Kale (Shia LaBeouf) has become increasingly sullen and withdrawn, until he finds himself under house arrest. With cabin fever setting in, he turns his attention to spying on his neighbors, becoming increasingly suspicious that one of them is a serial killer. However, he wonders if he is right, or if his overactive imagination is getting the better of him.","Aside from its clichéd resolution, Disturbia is a tense, subtle thriller with a noteworthy performance from Shia LaBeouf.","Drama, Mystery & Suspense",D.J. Caruso,"Carl Ellsworth, Christopher Landon",69.0,77.0,175.0,1452611.0
m/the_sitter_2011,The Sitter,"Noah Griffith (Jonah Hill) is stuck in a rut; he's been kicked out of college, and his self-absorbed girlfriend, Marisa (Ari Graynor), treats him poorly. All Noah wants to do these days is watch TV, but as a favor to his mother, he agrees to baby-sit a neighbor's three freakish children: Slater (Max Records), Blithe (Landry Bender) and Rodrigo (Kevin Hernandez). Coerced to score some drugs for Marisa in exchange for sex, Noah must take the terrible trio along on a wild odyssey through New York.","With its recycled plot, misguided gags, and formula performance from Jonah Hill, The Sitter adds up to another disappointing entry from director David Gordon Green.",Comedy,David Gordon Green,"Brian Gatewood, Alessandro Tanaka",22.0,39.0,112.0,40755.0
m/sweet_virginia_2017,Sweet Virginia,An ex-rodeo rider strikes up a friendship with a young man who may be behind the violence occurring in their small town.,"Smart and well-acted, Sweet Virginia delivers a tense, atmospheric thriller that transcends genre conventions even as it embraces them.","Drama, Mystery & Suspense",Jamie M. Dagg,"Paul China, Benjamin China",79.0,58.0,56.0,1288.0
m/wing_commander,Wing Commander,"A space pilot (Freddie Prinze Jr.) with an encoded message, his sidekick (Matthew Lillard) and their superior (Saffron Burrows) fight attacking aliens.","The low budget may explain Wing Commander's cheesy special effects, but can't excuse the lame dialogue or the movie's obsessive reliance on sci-fi cliches.","Action & Adventure, Science Fiction & Fantasy",Chris Roberts,Kevin Droney,10.0,25.0,51.0,19880.0
m/sherlock-jr,Sherlock Jr.,"A kindly movie projectionist (Buster Keaton) longs to be a detective. When his fiancée (Kathryn McGuire) is robbed by a local thief (Ward Crane), the poor projectionist is framed for the crime. Using his amateur detective skills, the projectionist follows the thief to the train station -- only to find himself locked in a train car. Disheartened, he returns to his movie theater, where he falls asleep and dreams that he is the great Sherlock Holmes.",,"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Buster Keaton,"Clyde Bruckman, Jean Havez, Joseph Mitchell",96.0,95.0,23.0,6939.0
